Guardians of the Galaxy, 2014, 1 Aug 2014, English, 121, James Gunn  Nicole Perlman  Dan Abnett (comic book)  Andy Lanning (comic book), James Gunn, 8.1, PG-13, tt2015381, 464673, Action  Adventure  Sci-Fi, Nominated for 2 Oscars. Another 22 wins & 78 nominations.
Interstellar, 2014, 7 Nov 2014, English, 169, Jonathan Nolan  Christopher Nolan, Christopher Nolan, 8.7, PG-13, tt0816692, 573918, Adventure  Sci-Fi, Won 1 Oscar. Another 32 wins & 93 nominations.
Unbroken, 2014, 25 Dec 2014, English, 137, Joel Coen (screenplay)  Ethan Coen (screenplay)  Richard LaGravenese (screenplay)  William Nicholson (screenplay)  Laura Hillenbrand (book), Angelina Jolie, 7.2, PG-13, tt1809398, 50579, Biography  Drama  Sport, Nominated for 3 Oscars. Another 10 wins & 26 nominations.
American Sniper, 2014, 16 Jan 2015, English, 132, Jason Hall  Chris Kyle (book)  Scott McEwen (book)  James Defelice (book), Clint Eastwood, 7.4, R, tt2179136, 170604, Action  Biography  Thriller, Won 1 Oscar. Another 8 wins & 30 nominations.
Captain America: The Winter Soldier, 2014, 4 Apr 2014, English, 136, Christopher Markus (screenplay)  Stephen McFeely (screenplay)  Ed Brubaker (concept and story)  Joe Simon (comic book)  Jack Kirby (comic book), Anthony Russo  Joe Russo, 7.8, PG-13, tt1843866, 349698, Action  Adventure  Sci-Fi, Nominated for 1 Oscar. Another 2 wins & 40 nominations.
X-Men: Days of Future Past, 2014, 23 May 2014, English, 131, Simon Kinberg (screenplay)  Jane Goldman (story)  Simon Kinberg (story)  Matthew Vaughn (story), Bryan Singer, 8.1, PG-13, tt1877832, 388319, Action  Adventure  Sci-Fi, Nominated for 1 Oscar. Another 7 wins & 33 nominations.
The Imitation Game, 2014, 25 Dec 2014, English, 114, Graham Moore  Andrew Hodges (book), Morten Tyldum, 8.1, PG-13, tt2084970, 254249, Biography  Drama  Thriller, Won 1 Oscar. Another 51 wins & 118 nominations.
Gone Girl, 2014, 3 Oct 2014, English, 149, Gillian Flynn (screenplay)  Gillian Flynn (novel), David Fincher, 8.2, R, tt2267998, 386786, Drama  Mystery  Thriller, Nominated for 1 Oscar. Another 60 wins & 126 nominations.
Into the Woods, 2014, 25 Dec 2014, English, 125, James Lapine (screenplay)  James Lapine (musical)  Stephen Sondheim (musical), Rob Marshall, 6.1, PG, tt2180411, 65922, Adventure  Fantasy  Musical, Nominated for 3 Oscars. Another 9 wins & 52 nominations.
John Wick, 2014, 24 Oct 2014, English, 101, Derek Kolstad (screenplay), Chad Stahelski  David Leitch, 7.2, R, tt2911666, 153572, Action  Thriller, 2 wins & 1 nomination.
Exodus: Gods and Kings, 2014, 12 Dec 2014, English, 150, Adam Cooper  Bill Collage  Jeffrey Caine  Steven Zaillian, Ridley Scott, 6.1, PG-13, tt1528100, 76850, Action  Adventure  Drama, 3 nominations.
Whiplash, 2014, 15 Oct 2014, English, 107, Damien Chazelle, Damien Chazelle, 8.6, R, tt2582802, 208549, Drama  Music, Won 3 Oscars. Another 82 wins & 87 nominations.
The Gambler, 2014, 25 Dec 2014, English, 111, William Monahan (screenplay)  James Toback, Rupert Wyatt, 6.1, R, tt2039393, 19932, Crime  Drama  Thriller, 1 nomination.
Wild, 2014, 19 Dec 2014, English, 115, Nick Hornby  Cheryl Strayed (memoir "Wild: From Lost to Found on the Pacific Crest Trail"), Jean-Marc Vallée, 7.2, R, tt2305051, 41294, Biography  Drama, Nominated for 2 Oscars. Another 8 wins & 48 nominations.
